Company,Description,Rating,Category,Response Rate,Average Response Rate,Solution Rate,Average Avaluation,Customer Retention
Carglass,Great,86.3,"cars, motorcycles and traffic",100%,100%,"94,7%","54,2%","58,3%"
ExpressGlass,Good,66.5,"cars, motorcycles and traffic",100%,"81,4%","64,3%","51,1%","44,4%"
Bkstickers,Great,88.2,"cars, motorcycles and traffic",100%,100%,"83,3%","76,7%",100%
Eurobikes,Weak,36.1,"cars, motorcycles and traffic","33,3%","12,5%","36,4%",45%,60%
Bikeinn,Weak,31.0,"cars, motorcycles and traffic","33,3%",5%,"36,4%",25%,50%
Endcar,Good,66.8,"cars, motorcycles and traffic",100%,"48,3%","83,3%",30%,"33,3%"
Fidelidade Car Service,Good,61.5,"cars, motorcycles and traffic",100%,100%,50%,50%,40%
PKE Automotive,Weak,32.3,"cars, motorcycles and traffic","33,3%","16,7%","33,3%","43,3%","33,3%"
Stand Tinocar,Excelent,90.3,"cars, motorcycles and traffic",100%,55%,100%,80%,100%
CARSPOT,Great,81.2,"cars, motorcycles and traffic",100%,"91,7%","83,3%","63,8%","62,5%"
Car4you,Good,71.5,"cars, motorcycles and traffic",80%,60%,80%,30%,100%
AutoParts Logistic,Excelent,95.3,"cars, motorcycles and traffic",100%,"68,3%",100%,100%,100%
UniversAuto,Great,80.6,"cars, motorcycles and traffic",100%,87%,"88,9%","53,8%",50%
Texoleo,Good,73.8,"cars, motorcycles and traffic",100%,"87,5%","85,7%","32,9%","28,6%"
LeasePlan,Good,72.3,"cars, motorcycles and traffic",100%,"77,7%","90,5%","22,7%",20%
KINTO,Reasonable,58.8,"cars, motorcycles and traffic","90,9%","26,4%","81,8%","22,9%","14,3%"
ALD Automotive,Reasonable,42.0,"cars, motorcycles and traffic",100%,100%,25%,30%,0%
AMGCar,Reasonable,46.2,"cars, motorcycles and traffic",50%,0%,50%,"63,3%","66,7%"
Confiauto,Weak,20.9,"cars, motorcycles and traffic",50%,20%,"12,5%","27,5%",25%
JOP,Unsatisfactory,15.4,"cars, motorcycles and traffic",20%,2%,"22,2%","13,3%",0%
Benecar – Cidade do Automóvel,Excelent,99.0,"cars, motorcycles and traffic",100%,100%,100%,"93,3%",100%
Matrizauto,Great,88.8,"cars, motorcycles and traffic",100%,100%,100%,"58,3%",50%
CarPlus,Good,75.5,"cars, motorcycles and traffic",100%,"73,8%","85,7%","53,6%","35,7%"
Bridgestone Portugal,Weak,20.3,"cars, motorcycles and traffic","12,5%","8,8%","12,5%",10%,100%
Michelin,Unsatisfactory,18.5,"cars, motorcycles and traffic","14,7%","2,9%","14,7%","37,3%","36,4%"
Continental Pneus,Unsatisfactory,1.5,"cars, motorcycles and traffic",0%,0%,0%,10%,0%
Dekra Portugal,Reasonable,49.0,"cars, motorcycles and traffic","87,5%","41,3%","53,3%","32,5%",25%
TAVFER,Weak,23.1,"cars, motorcycles and traffic","41,2%","16,5%","29,4%",12%,0%
Controlauto,Weak,20.8,"cars, motorcycles and traffic","22,2%","18,9%","28,6%",10%,0%
Antero Motos,Reasonable,57.8,"cars, motorcycles and traffic","82,4%","46,5%","70,6%","26,7%","33,3%"
SYM,Reasonable,54.5,"cars, motorcycles and traffic",100%,20%,80%,10%,0%
Santomar,Reasonable,53.5,"cars, motorcycles and traffic",40%,40%,40%,90%,100%
Pneus Lider,Good,76.3,"cars, motorcycles and traffic",100%,"97,6%","85,7%","37,4%","31,6%"
Pneus Online,Weak,36.8,"cars, motorcycles and traffic",50%,"11,7%",50%,"33,3%",0%
Sp Pneus,No data,,"cars, motorcycles and traffic",0%,0%,0%,100%,100%
Starwash,Weak,39.9,"cars, motorcycles and traffic","81,8%","72,7%","18,2%",45%,50%
Elefante Azul,Weak,33.3,"cars, motorcycles and traffic",75%,70%,"18,2%",25%,25%
Newash,Unsatisfactory,9.8,"cars, motorcycles and traffic","17,6%","4,1%","11,8%",10%,0%
Banco Montepio,Great,82.0,insurance and real estate banking,100%,"99,7%","94,7%","37,8%","40,5%"
Banco BNI Europa,Great,80.5,insurance and real estate banking,100%,"78,3%","83,3%",74%,60%
ActivoBank,Good,79.0,insurance and real estate banking,99%,"96,9%","83,2%","49,6%","55,5%"
Mobilize Financial Services – Portugal,Great,87.0,insurance and real estate banking,100%,"99,3%",95%,"63,4%","51,4%"
Oney,Great,86.9,insurance and real estate banking,100%,"99,5%","99,5%","52,4%","43,9%"
Banco Credibom,Great,86.7,insurance and real estate banking,100%,100%,"95,1%","57,5%",55%
IVAucher,Excelent,93.0,insurance and real estate banking,100%,"99,7%","99,3%","71,4%",77%
Easypay,Great,85.7,insurance and real estate banking,100%,100%,82%,"83,6%",72%
IFTHENPAY,Good,73.4,insurance and real estate banking,100%,"97,8%","54,5%","84,8%","87,1%"
Universo,Great,82.3,insurance and real estate banking,100%,100%,"92,2%","44,6%","44,8%"
WiZink,Good,72.8,insurance and real estate banking,"99,6%","74,1%",91%,"29,9%","16,9%"
Cartão El Corte Inglés,Reasonable,50.7,insurance and real estate banking,"66,7%",20%,"66,7%",38%,20%
Euroticket Refeição,Great,88.5,insurance and real estate banking,100%,100%,"98,5%","54,2%","60,6%"
Sodexo,Great,86.8,insurance and real estate banking,100%,100%,100%,50%,"42,9%"
Ticket Restaurant,Weak,34.6,insurance and real estate banking,30%,"14,5%",30%,"51,7%","66,7%"
MB WAY,Great,89.5,insurance and real estate banking,"99,8%","87,5%","98,3%","67,5%","70,9%"
OpenBank,Good,71.5,insurance and real estate banking,"93,9%","67,9%","77,4%",48%,60%
Moey,Reasonable,49.7,insurance and real estate banking,"89,3%",21%,"55,2%","39,3%","41,5%"
Payshop,Great,89.9,insurance and real estate banking,100%,100%,"85,7%",80%,100%
SIBS,Great,89.1,insurance and real estate banking,100%,"91,3%","98,9%","61,8%","66,7%"
SaltPay,Great,88.7,insurance and real estate banking,"98,6%","95,3%","96,6%",62%,"69,6%"
InvestFW,Good,78.7,insurance and real estate banking,100%,"95,5%","88,5%","47,5%","30,4%"
OBRinvest,Reasonable,57.7,insurance and real estate banking,"89,7%","72,6%",59%,"41,5%","21,2%"
LiquidityX,Reasonable,44.2,insurance and real estate banking,100%,"62,5%","36,8%","35,6%","11,1%"
Cartão Dá,Excelent,93.5,insurance and real estate banking,100%,99%,"93,9%","83,2%","92,1%"
Cyrana,Reasonable,41.6,insurance and real estate banking,100%,"93,8%","29,6%","16,1%","3,6%"
ViaBuy,Unsatisfactory,17.0,insurance and real estate banking,"15,9%","5,1%","15,9%","23,8%",31%
Munditransfers,Weak,28.8,insurance and real estate banking,"47,1%","31,2%","23,5%","17,5%",50%
Skrill,Weak,25.3,insurance and real estate banking,"17,6%",10%,"17,6%",48%,60%
Wise,Unsatisfactory,15.1,insurance and real estate banking,"8,6%",4%,"10,3%","37,1%","28,6%"
Multicert,No data,,insurance and real estate banking,100%,5%,75%,10%,0%
SEPHORA,Excelent,93.8,beauty and well-being,100%,100%,100%,75%,75%
Perfumeria Primor,Reasonable,59.2,beauty and well-being,"93,4%","60,8%","56,7%","46,4%","54,2%"
Perfumes & Companhia,Reasonable,58.5,beauty and well-being,"98,6%","65,5%","48,6%",59%,"56,7%"
TummyTox,Excelent,90.4,beauty and well-being,100%,98%,100%,"57,9%","69,7%"
Slimjoy Portugal,Good,79.2,beauty and well-being,100%,"60,5%","97,7%","39,2%","53,8%"
Nutribio,Good,78.4,beauty and well-being,100%,"61,3%","81,3%","75,5%","72,7%"
Be and Care,Great,86.2,beauty and well-being,100%,"63,8%",100%,"58,9%","77,8%"
L'Oréal Paris,Great,81.2,beauty and well-being,100%,"97,3%",100%,"27,5%",25%
Veet,Good,62.8,beauty and well-being,"83,3%","68,3%",40%,95%,100%
DepilConcept,Reasonable,58.3,beauty and well-being,100%,"72,6%",50%,"44,3%","57,1%"
Maria Bonita,Reasonable,45.9,beauty and well-being,"62,5%","51,3%","37,5%",55%,50%
DepilTime,Reasonable,45.1,beauty and well-being,80%,64%,40%,50%,0%
Team Transformerz,Great,81.6,beauty and well-being,100%,"71,3%","87,5%",70%,"66,7%"
Nutribalance,Good,67.6,beauty and well-being,100%,"27,9%","91,7%","31,4%","28,6%"
DietEspana.com,No data,,beauty and well-being,100%,20%,100%,10%,0%
SANJAM Cabeleireiros,Reasonable,59.4,beauty and well-being,100%,80%,60%,"32,5%",25%
Cidália Cabeleireios,Weak,37.6,beauty and well-being,100%,100%,"14,3%",25%,"16,7%"
Inês Pereira Cabeleireiros,Weak,26.3,beauty and well-being,"22,2%","7,8%","22,2%","56,7%","33,3%"
Doces Aromas,Great,83.4,beauty and well-being,90%,64%,90%,65%,100%
Perfumes.pt,Good,76.5,beauty and well-being,100%,82%,80%,50%,"66,7%"
Notino,Reasonable,52.8,beauty and well-being,"62,2%","43,6%","46,5%","66,3%","68,4%"
Renova,Good,70.4,beauty and well-being,"62,5%","58,8%","66,7%",80%,100%
CHEIRALFAZEMA,Reasonable,51.1,beauty and well-being,100%,82%,40%,"36,7%","33,3%"
MyEcoPads,Reasonable,47.2,beauty and well-being,"84,6%","52,7%","53,8%","18,9%","10,5%"
Official Alta Cosmética,Great,89.3,beauty and well-being,100%,"58,2%",100%,"77,2%","89,7%"
Salontotal.pt,Good,72.3,beauty and well-being,80%,44%,80%,"73,3%","66,7%"
Loja do Shampoo,Good,68.9,beauty and well-being,100%,80%,60%,"62,5%",75%
Clinicas Bodyscience,Good,74.0,beauty and well-being,100%,"67,6%","86,2%","44,2%","41,7%"
Body Concept,Good,65.1,beauty and well-being,"96,2%","67,3%","63,6%","52,1%","57,1%"
NB Clinic,Reasonable,44.0,beauty and well-being,"54,5%","51,8%","27,3%",70%,"66,7%"
Insparya,Excelent,97.9,beauty and well-being,100%,"90,9%",100%,95%,100%
Medicapilar,Excelent,92.1,beauty and well-being,100%,100%,90%,94%,80%
CM2C,Unsatisfactory,1.5,beauty and well-being,0%,0%,0%,10%,0%
Rostus - Agência de Modelos,Reasonable,48.8,beauty and well-being,100%,52%,40%,40%,50%
Space Milan Models,Unsatisfactory,16.0,beauty and well-being,"8,7%","5,2%","8,7%",0%,100%
Espaço Fama,Unsatisfactory,10.0,beauty and well-being,0%,0%,0%,0%,100%
Securitas Direct,Great,80.6,home alarms and cleaning,100%,100%,"90,9%","44,5%","34,7%"
PROSEGUR ALARMS,Good,78.8,home alarms and cleaning,100%,100%,"91,5%","38,4%","23,3%"
Valguard,No data,,home alarms and cleaning,"66,7%","56,7%","66,7%",100%,100%
Leroy Merlin,Good,68.6,home alarms and cleaning,"98,9%",97%,"64,9%","43,9%","51,6%"
Armazéns Reis,Good,66.4,home alarms and cleaning,100%,100%,63%,40%,"38,9%"
Bricomarché,Good,60.9,home alarms and cleaning,"91,7%","63,3%","66,7%","38,4%","31,6%"
Chaves do Areeiro,Weak,31.8,home alarms and cleaning,"64,7%","31,2%","23,5%",40%,"28,6%"
Chaviarte,Weak,29.6,home alarms and cleaning,100%,34%,20%,30%,0%
Piquetes.pt,Unsatisfactory,18.4,home alarms and cleaning,"28,6%","14,3%","23,8%",10%,0%
Vileda,Reasonable,54.7,home alarms and cleaning,100%,"93,4%",22%,"78,8%","79,2%"
Finish,Reasonable,40.3,home alarms and cleaning,"33,3%","16,7%","33,3%",85%,50%
Fairy,Unsatisfactory,14.1,home alarms and cleaning,20%,4%,20%,10%,0%
COPS,Excelent,99.0,home alarms and cleaning,100%,100%,100%,"93,3%",100%
Strong Charon,Excelent,91.3,home alarms and cleaning,100%,100%,100%,"66,4%","63,6%"
Prosegur,Great,86.2,home alarms and cleaning,100%,100%,100%,30%,"66,7%"
Ariston Thermo,Good,70.6,home alarms and cleaning,"92,3%","85,4%","62,5%",62%,80%
Solzaima,Reasonable,59.5,home alarms and cleaning,"96,7%","66,7%","56,7%","47,9%","42,9%"
Junkers,Unsatisfactory,18.6,home alarms and cleaning,"14,3%",0%,"14,3%",0%,100%
Urbicult,Good,79.0,home alarms and cleaning,100%,58%,100%,42%,40%
Planeta Huerto,Good,77.9,home alarms and cleaning,100%,"60,3%","93,3%","43,9%","55,6%"
Cactos e Suculentas Portugal,Good,73.2,home alarms and cleaning,96%,84%,"83,3%","41,1%","31,6%"
Ecovolt - Energias Renováveis,Good,72.8,home alarms and cleaning,80%,60%,80%,55%,75%
Isométrica,Good,71.4,home alarms and cleaning,80%,51%,80%,"67,1%","57,1%"
EAF Serviço Técnico Nacional,Good,60.4,home alarms and cleaning,100%,"61,8%","63,6%",40%,"33,3%"
Woosh,Weak,29.6,home alarms and cleaning,100%,54%,20%,10%,0%
5àSec,Weak,29.4,home alarms and cleaning,"96,9%","75,6%","13,8%",10%,0%
La Wash,Weak,24.0,home alarms and cleaning,20%,"13,3%",20%,"33,3%",50%
Servitis,Good,60.7,home alarms and cleaning,100%,"67,8%","69,2%",30%,"14,3%"
Multi24Serviços,Reasonable,51.5,home alarms and cleaning,60%,22%,60%,"36,7%","66,7%"
RGO Reparações 24 horas,Reasonable,50.3,home alarms and cleaning,"95,2%","48,1%","52,4%","38,3%","16,7%"
Iberlim,Great,85.2,home alarms and cleaning,100%,"86,4%",100%,55%,40%
House Shine,Good,68.3,home alarms and cleaning,100%,"35,3%",100%,20%,0%
Cleancare,Weak,35.4,home alarms and cleaning,"37,5%","12,5%","37,5%",40%,50%
Solverde.pt,Great,87.7,casinos and bookmakers,100%,"94,5%","98,1%","57,7%","58,1%"
Moosh,Great,86.6,casinos and bookmakers,100%,"97,2%",100%,"50,6%","43,8%"
Casino Portugal,Great,81.8,casinos and bookmakers,100%,"62,9%",100%,56%,40%
Leon,Excelent,94.0,casinos and bookmakers,100%,"93,7%","97,6%","80,5%","90,5%"
Bettilt,Great,82.2,casinos and bookmakers,100%,100%,"97,1%","34,1%","35,3%"
Roku Casino,Weak,32.7,casinos and bookmakers,"33,3%","17,8%","33,3%",0%,100%
Grupo Solverde,Unsatisfactory,19.4,casinos and bookmakers,"37,5%",0%,"18,8%","22,9%","28,6%"
Casino Figueira,No data,,casinos and bookmakers,100%,70%,100%,10%,0%
Casino Lisboa,No data,,casinos and bookmakers,25%,"17,5%",0%,0%,100%
Apostas Prognosticos,Weak,31.3,casinos and bookmakers,"32,4%","23,5%","32,4%","33,3%","33,3%"
Feeling Lucky,No data,,casinos and bookmakers,0%,0%,0%,100%,100%
Odds.dog,No data,,casinos and bookmakers,100%,0%,0%,10%,0%
NOS,Great,86.9,tv and media communications,100%,"99,8%","98,3%","51,1%","51,4%"
MEO,Great,85.5,tv and media communications,100%,100%,"98,4%","45,3%","45,6%"
Nowo,Good,72.8,tv and media communications,"97,6%","53,5%","90,4%","38,3%","40,3%"
OPTO,Great,86.0,tv and media communications,100%,100%,"90,9%","67,7%","53,8%"
TDT,Great,84.5,tv and media communications,100%,"98,7%","95,2%","43,3%","55,6%"
HBO,Weak,30.0,tv and media communications,"33,3%","7,8%","33,3%","34,5%","36,4%"
WTF,Excelent,91.8,tv and media communications,100%,"99,9%","99,5%","66,9%","70,6%"
Moche,Great,86.6,tv and media communications,100%,100%,"97,1%","47,6%","58,8%"
Altice Portugal,Great,86.0,tv and media communications,100%,100%,"92,3%","56,5%",64%
ELEVEN,Good,76.9,tv and media communications,100%,"81,4%","76,6%","63,8%","68,8%"
SIC,Good,72.5,tv and media communications,100%,100%,"69,8%","48,7%","53,1%"
TV Globo Portugal,Weak,37.6,tv and media communications,"28,6%",0%,"28,6%",70%,100%
Mozzi.com,Reasonable,44.3,tv and media communications,50%,"28,3%",50%,0%,100%
Mobile Apps,Reasonable,41.2,tv and media communications,100%,80%,"27,1%","19,4%","27,4%"
Cozinha Fácil,Weak,36.8,tv and media communications,"98,1%","78,5%","21,3%","19,7%","16,7%"
Sapo,Great,84.2,tv and media communications,100%,100%,"94,1%","47,5%",50%
Notícias ao Minuto,Good,60.8,tv and media communications,100%,"37,4%","78,9%","21,3%",25%
Observador,Reasonable,42.5,tv and media communications,80%,20%,60%,10%,0%
Antena 1,Unsatisfactory,15.3,tv and media communications,"12,5%",0%,"12,5%",30%,"33,3%"
RFM,Unsatisfactory,11.2,tv and media communications,"14,3%",0%,"14,3%","17,5%",0%
TSF - Rádio Notícias,No data,,tv and media communications,100%,0%,100%,40%,0%
Incomunicado,Great,84.5,tv and media communications,100%,80%,100%,50%,50%
dstelecom,Good,70.9,tv and media communications,100%,"92,7%","73,3%",42%,40%
Mobile World,Good,67.7,tv and media communications,100%,"36,7%","83,3%",70%,0%
MELOM Obras,Excelent,95.5,industrial construction and manufacturing,100%,100%,100%,70%,100%
Querido Mudei a Casa Obras,Great,81.1,industrial construction and manufacturing,100%,"61,1%",100%,50%,"44,4%"
NaturaLar,Great,80.7,industrial construction and manufacturing,100%,"77,1%",100%,34%,40%
Orona,Good,71.9,industrial construction and manufacturing,100%,"67,5%","87,5%",20%,50%
Schindler,Weak,38.5,industrial construction and manufacturing,"41,2%","12,9%",50%,36%,20%
Thyssenkrupp,Weak,25.5,industrial construction and manufacturing,20%,0%,25%,40%,50%
Barbot,Good,66.8,industrial construction and manufacturing,100%,0%,100%,"23,3%","33,3%"
Sollac Tintas,No data,,industrial construction and manufacturing,0%,0%,0%,100%,100%
TSL,No data,,industrial construction and manufacturing,100%,50%,50%,100%,100%
"Pioneiros & Virtuosos, Unipessoal Lda",Reasonable,46.5,industrial construction and manufacturing,100%,40%,20%,70%,100%
ITS – Indústria Transformadora de Subprodutos,No data,,industrial construction and manufacturing,0%,0%,0%,0%,100%
SEGURANÇA TOTAL,No data,,industrial construction and manufacturing,0%,0%,0%,0%,100%
Radar do Tempo,Good,69.0,industrial construction and manufacturing,"83,3%","11,7%","83,3%",65%,75%
Tbs Piscinas,Reasonable,57.3,industrial construction and manufacturing,"87,5%",30%,75%,10%,50%
PiscinasDesmontaveis.pt,Reasonable,45.3,industrial construction and manufacturing,"66,7%",15%,"66,7%",20%,0%
CME,Reasonable,53.6,industrial construction and manufacturing,"87,5%","72,5%","42,9%",50%,50%
ERI Engenharia,Weak,31.0,industrial construction and manufacturing,"33,3%","7,8%","33,3%","43,3%","33,3%"
"Ideias Simples, Lda",Weak,29.5,industrial construction and manufacturing,80%,0%,40%,10%,0%
FT Shopping,Excelent,90.6,industrial construction and manufacturing,100%,100%,100%,"66,7%","55,6%"
Loja das Peças,Great,80.0,industrial construction and manufacturing,100%,94%,100%,"28,3%","16,7%"
Barcelona LED Portugal,Reasonable,46.0,industrial construction and manufacturing,40%,20%,40%,60%,100%
Caixiave,Great,81.8,industrial construction and manufacturing,100%,24%,100%,"76,7%","66,7%"
Nuno Miguel Pereira Alumínios,Good,62.0,industrial construction and manufacturing,20%,0%,100%,0%,100%
Velux Portugal,Weak,37.1,industrial construction and manufacturing,40%,34%,40%,20%,50%
Utilmáquina,Weak,31.5,industrial construction and manufacturing,50%,0%,50%,10%,0%
Vitrum Cortinas de Vidro,Unsatisfactory,15.6,industrial construction and manufacturing,20%,14%,20%,10%,0%
Espirito Rebelde Embalagens,Unsatisfactory,14.0,industrial construction and manufacturing,"11,1%",0%,"11,1%","32,5%",25%
Ferramentas.pt,Good,77.7,industrial construction and manufacturing,100%,88%,100%,30%,0%
Obras 360,Good,67.2,industrial construction and manufacturing,100%,"67,5%","57,1%",70%,80%
Casa Peixoto,Good,66.4,industrial construction and manufacturing,100%,"82,2%","66,7%","38,3%",50%
Resinorte,Reasonable,41.3,industrial construction and manufacturing,40%,14%,40%,"56,7%","66,7%"
Dias Cordiais,Unsatisfactory,11.5,industrial construction and manufacturing,0%,0%,0%,10%,100%
Pellets Power 2,Unsatisfactory,10.0,industrial construction and manufacturing,0%,0%,0%,0%,100%
Jaime Humberto Magalhães,Reasonable,46.0,industrial construction and manufacturing,60%,0%,60%,0%,100%
Fast Serralheria,Unsatisfactory,16.4,industrial construction and manufacturing,"12,5%","12,5%","12,5%",30%,25%
RODI,No data,,industrial construction and manufacturing,0%,0%,0%,0%,100%
NACEX,Excelent,91.3,transport and logistics,100%,100%,100%,"65,3%","64,7%"
Correos Express Portugal,Great,89.8,transport and logistics,100%,100%,"99,6%","58,6%","61,8%"
Vasp,Great,87.2,transport and logistics,100%,100%,"97,8%","51,7%","55,1%"
Premium Green Mail,Good,79.9,transport and logistics,100%,60%,100%,46%,40%
CTT,Good,75.5,transport and logistics,100%,100%,"85,9%","28,9%","32,1%"
CityPOST,No data,,transport and logistics,50%,"22,5%",25%,20%,100%
Expresso 24,Great,89.9,transport and logistics,100%,100%,100%,55%,"66,7%"
Via Directa,Great,82.3,transport and logistics,100%,"99,4%","99,7%","32,6%","26,4%"
Envialia,Weak,27.0,transport and logistics,"33,3%","16,2%","32,8%","21,3%","16,1%"
SantoseVale,Excelent,100.0,transport and logistics,100%,100%,100%,100%,100%
Transnautica,Great,88.3,transport and logistics,100%,"73,3%",100%,65%,75%
Kargo,Good,77.8,transport and logistics,100%,"78,9%","88,9%","43,3%",50%
TNB Expresso,Good,69.9,transport and logistics,100%,"78,2%",90%,"21,4%",0%
Mudanças Paulo Silva,Reasonable,55.7,transport and logistics,100%,42%,60%,36%,40%
Pack and Go,Reasonable,50.9,transport and logistics,80%,4%,80%,15%,0%
Skynet,Good,77.1,transport and logistics,"83,3%","83,3%","83,3%","47,5%",75%
CTT Express,Good,74.8,transport and logistics,100%,100%,"85,2%","29,1%",28%
UPS,Good,65.6,transport and logistics,"99,6%","98,9%","64,7%","33,4%","34,3%"
APDL,Good,68.3,transport and logistics,"71,4%","12,9%","71,4%",90%,100%
Docapesca,Unsatisfactory,10.0,transport and logistics,0%,0%,0%,0%,100%
APRAM,No data,,transport and logistics,0%,0%,0%,0%,100%
Círculo de Leitores,Reasonable,55.0,"culture, leisure and fun",50%,0%,50%,100%,100%
Wook,Reasonable,51.7,"culture, leisure and fun",100%,"99,1%","27,7%",51%,"53,8%"
Bertrand Livreiros,Reasonable,49.5,"culture, leisure and fun",96%,"53,6%","36,4%",58%,50%
Watchilds,Great,87.2,"culture, leisure and fun",100%,"93,3%","88,9%","77,1%","71,4%"
Burago.pt,Great,84.3,"culture, leisure and fun",100%,"87,1%",100%,48%,40%
Science4you,Great,81.8,"culture, leisure and fun",100%,"84,7%","94,4%","47,4%","47,4%"
Feijão Verde Fun Park,Weak,37.3,"culture, leisure and fun","55,6%","24,4%","44,4%",26%,20%
Zmar,Weak,32.4,"culture, leisure and fun",100%,39%,30%,10%,0%
Oceanário de Lisboa,Weak,23.1,"culture, leisure and fun","16,7%","9,2%","16,7%",45%,50%
See Tickets,Great,81.3,"culture, leisure and fun","95,4%","78,9%","87,4%","63,2%","67,3%"
3cket,Reasonable,50.1,"culture, leisure and fun",80%,74%,40%,40%,50%
StubHub,Reasonable,42.9,"culture, leisure and fun","89,2%","46,1%","39,8%","26,9%","30,8%"
Eskada Club,Weak,30.5,"culture, leisure and fun",40%,0%,50%,10%,0%
Lust in Rio,Unsatisfactory,1.5,"culture, leisure and fun",0%,0%,0%,10%,0%
Via Rápida,Unsatisfactory,1.5,"culture, leisure and fun",0%,0%,0%,10%,0%
Salvat Editores,Good,63.4,"culture, leisure and fun",100%,"95,7%",50%,60%,50%
Ediclube,Good,60.4,"culture, leisure and fun","95,7%",43%,"71,4%",38%,30%
Cordel de Prata,Good,60.3,"culture, leisure and fun","83,3%","23,3%","66,7%","67,5%",50%
Campo Pequeno,Good,68.9,"culture, leisure and fun",100%,"97,3%","85,7%",10%,0%
FIL - Feira Internacional de Lisboa,Reasonable,47.3,"culture, leisure and fun","66,7%","44,4%","44,4%",45%,50%
Coliseu dos Recreios,Unsatisfactory,10.0,"culture, leisure and fun",0%,0%,0%,0%,100%
