Empresa,Descrição,Nota,Categoria
Caixiave,Óptimo,81.8,construcao-industria-e-manufactura
Nuno Miguel Pereira Alumínios,Bom,62,construcao-industria-e-manufactura
Velux Portugal,Fraco,37.1,construcao-industria-e-manufactura
Utilmáquina,Fraco,31.5,construcao-industria-e-manufactura
Vitrum Cortinas de Vidro,Insatisfatório,15.6,construcao-industria-e-manufactura
Espirito Rebelde Embalagens,Insatisfatório,14,construcao-industria-e-manufactura
Ferramentas.pt,Bom,77.7,construcao-industria-e-manufactura
Casa Peixoto,Bom,68.4,construcao-industria-e-manufactura
Obras 360,Bom,67.2,construcao-industria-e-manufactura
Resinorte,Razoável,41.3,construcao-industria-e-manufactura
Dias Cordiais,Insatisfatório,11.5,construcao-industria-e-manufactura
Pellets Power 2,Insatisfatório,10,construcao-industria-e-manufactura
Jaime Humberto Magalhães,Razoável,46,construcao-industria-e-manufactura
Fast Serralheria,Insatisfatório,16.4,construcao-industria-e-manufactura
RODI,Sem dados,N/A,construcao-industria-e-manufactura
NACEX,Excelente,91.3,transporte-e-logisticas
Correos Express Portugal,Óptimo,89.7,transporte-e-logisticas
Vasp,Óptimo,87.2,transporte-e-logisticas
Premium Green Mail,Bom,79.2,transporte-e-logisticas
CTT,Bom,75.5,transporte-e-logisticas
CityPOST,Sem dados,N/A,transporte-e-logisticas
Expresso 24,Óptimo,89.9,transporte-e-logisticas
Via Directa,Óptimo,82.1,transporte-e-logisticas
Envialia,Fraco,27.5,transporte-e-logisticas
SantoseVale,Excelente,100,transporte-e-logisticas
Transnautica,Óptimo,88.3,transporte-e-logisticas
Kargo,Bom,77.8,transporte-e-logisticas
TNB Expresso,Bom,69.9,transporte-e-logisticas
Mudanças Paulo Silva,Razoável,55.7,transporte-e-logisticas
Pack and Go,Razoável,50.9,transporte-e-logisticas
Skynet,Bom,77.1,transporte-e-logisticas
CTT Express,Bom,74.8,transporte-e-logisticas
UPS,Bom,65.3,transporte-e-logisticas
APDL,Bom,68.3,transporte-e-logisticas
Docapesca,Insatisfatório,10,transporte-e-logisticas
APRAM,Sem dados,N/A,transporte-e-logisticas
Círculo de Leitores,Razoável,55,cultura-lazer-e-diversao
Wook,Razoável,51.7,cultura-lazer-e-diversao
Bertrand Livreiros,Razoável,50.3,cultura-lazer-e-diversao
Watchilds,Óptimo,87.2,cultura-lazer-e-diversao
Burago.pt,Óptimo,84.3,cultura-lazer-e-diversao
Science4you,Óptimo,81.8,cultura-lazer-e-diversao
Feijão Verde Fun Park,Fraco,37.3,cultura-lazer-e-diversao
Zmar,Fraco,32.4,cultura-lazer-e-diversao
Oceanário de Lisboa,Fraco,23.1,cultura-lazer-e-diversao
See Tickets,Óptimo,81.3,cultura-lazer-e-diversao
3cket,Razoável,50.1,cultura-lazer-e-diversao
StubHub,Razoável,43.1,cultura-lazer-e-diversao
Eskada Club,Fraco,30.5,cultura-lazer-e-diversao
Lust in Rio,Insatisfatório,1.5,cultura-lazer-e-diversao
Via Rápida,Insatisfatório,1.5,cultura-lazer-e-diversao
Salvat Editores,Bom,63.4,cultura-lazer-e-diversao
Ediclube,Bom,60.4,cultura-lazer-e-diversao
Cordel de Prata,Bom,60.3,cultura-lazer-e-diversao
Campo Pequeno,Bom,68.9,cultura-lazer-e-diversao
FIL - Feira Internacional de Lisboa,Razoável,47.3,cultura-lazer-e-diversao
Coliseu dos Recreios,Insatisfatório,10,cultura-lazer-e-diversao
IQOS,Bom,79.2,cultura-lazer-e-diversao
Cultura do Tabaco,Bom,77.1,cultura-lazer-e-diversao
Tabacaria Rita Dourado,Insatisfatório,10,cultura-lazer-e-diversao
Fotosport,Razoável,41.5,cultura-lazer-e-diversao
Mi Amore,Fraco,27.5,cultura-lazer-e-diversao
O Nosso Casamento,Fraco,23.4,cultura-lazer-e-diversao
UCI Cinemas,Bom,75.9,cultura-lazer-e-diversao
CinemaCity,Bom,70.7,cultura-lazer-e-diversao
Filmin,Fraco,36.3,cultura-lazer-e-diversao
LX Music,Bom,64.7,cultura-lazer-e-diversao
Short Connection,Bom,61.5,cultura-lazer-e-diversao
Kalorama,Bom,60.3,cultura-lazer-e-diversao
Holmes Place,Óptimo,81.7,desporto-ginasios-e-clubes
Fitness UP,Óptimo,81,desporto-ginasios-e-clubes
Solinca,Bom,77.9,desporto-ginasios-e-clubes
Decathlon,Razoável,54.2,desporto-ginasios-e-clubes
Sport Zone,Razoável,52.3,desporto-ginasios-e-clubes
Lpoint,Razoável,43,desporto-ginasios-e-clubes
Prozis,Excelente,92.6,desporto-ginasios-e-clubes
EU NUTRITION,Óptimo,88.3,desporto-ginasios-e-clubes
MySuplementos,Óptimo,86.8,desporto-ginasios-e-clubes
Deeply,Razoável,55.6,desporto-ginasios-e-clubes
Berg Outdoor,Razoável,47.7,desporto-ginasios-e-clubes
Asics,Fraco,22.5,desporto-ginasios-e-clubes
Team Macau,Excelente,99.1,desporto-ginasios-e-clubes
PumpAddicted,Bom,69.4,desporto-ginasios-e-clubes
Time to Fitness 24,Bom,67.8,desporto-ginasios-e-clubes
Epda,Excelente,92.7,desporto-ginasios-e-clubes
Loja Verde Online,Óptimo,82.2,desporto-ginasios-e-clubes
PieroStore,Bom,72.3,desporto-ginasios-e-clubes
Futebol Clube do Porto,Fraco,34.5,desporto-ginasios-e-clubes
Sport Lisboa e Benfica,Insatisfatório,14.9,desporto-ginasios-e-clubes
Sporting Clube de Portugal,Insatisfatório,10,desporto-ginasios-e-clubes
Hidromania,Excelente,91,desporto-ginasios-e-clubes
BOXPT Equipment,Óptimo,82.3,desporto-ginasios-e-clubes
Fitnessdigital,Óptimo,81.1,desporto-ginasios-e-clubes
Federação Portuguesa de Ciclismo,Fraco,39,desporto-ginasios-e-clubes
FPF - Federação Portuguesa de Futebol,Fraco,29.3,desporto-ginasios-e-clubes
Liga Portugal,Insatisfatório,16.5,desporto-ginasios-e-clubes
Skydive Maia,Bom,70.9,desporto-ginasios-e-clubes
Skydive Porto,Bom,68.8,desporto-ginasios-e-clubes
GlobalSport,Razoável,53.3,desporto-ginasios-e-clubes
Centro Educacional de Lisboa,Excelente,90.7,educacao-formacao-e-emprego
Esneca,Excelente,90,educacao-formacao-e-emprego
Do It Better,Óptimo,89.6,educacao-formacao-e-emprego
Talenter,Excelente,91.7,educacao-formacao-e-emprego
Adecco,Óptimo,88.4,educacao-formacao-e-emprego
Manpower,Bom,76.4,educacao-formacao-e-emprego
NOVA FCSH,Óptimo,84.1,educacao-formacao-e-emprego
Universidade de Coimbra,Bom,66.6,educacao-formacao-e-emprego
Faculdade de Arquitetura UT Lisboa,Razoável,54.3,educacao-formacao-e-emprego
British Council Portugal,Razoável,50.5,educacao-formacao-e-emprego
Wall Street English,Razoável,49.4,educacao-formacao-e-emprego
Centro Europeu de Línguas,Fraco,36.8,educacao-formacao-e-emprego
Externato do Parque,Sem dados,N/A,educacao-formacao-e-emprego
Externato e Infantário Nobel,Sem dados,N/A,educacao-formacao-e-emprego
Colégio Guadalupe,Sem dados,N/A,educacao-formacao-e-emprego
Grande Sábio,Sem dados,N/A,educacao-formacao-e-emprego
Génios e Provérbios,Sem dados,N/A,educacao-formacao-e-emprego
Centro de Estudos Cuca Matuta,Sem dados,N/A,educacao-formacao-e-emprego
OnlineCurriculo.com,Fraco,30.3,educacao-formacao-e-emprego
Online CV,Fraco,24.3,educacao-formacao-e-emprego
CVBuilder,Insatisfatório,5.8,educacao-formacao-e-emprego
Jardim de Infância Nossa Senhora de Fátima,Sem dados,N/A,educacao-formacao-e-emprego
O Teu Filho,Sem dados,N/A,educacao-formacao-e-emprego
Centro Social da Paróquia de Nogueira,Sem dados,N/A,educacao-formacao-e-emprego
Indebt,Óptimo,88.5,empresas-servicos-e-associacoes
Recactiv,Óptimo,82.9,empresas-servicos-e-associacoes
Reconfinance,Bom,68.7,empresas-servicos-e-associacoes
CENTURY 21 Portugal,Óptimo,80.8,empresas-servicos-e-associacoes
Remax,Bom,79.5,empresas-servicos-e-associacoes
KW Portugal,Razoável,45.5,empresas-servicos-e-associacoes
Servigrupo - Condomínios,Excelente,91.5,empresas-servicos-e-associacoes
Norte Condomínios,Bom,77.3,empresas-servicos-e-associacoes
Sultanato,Bom,62.2,empresas-servicos-e-associacoes
UNICEF Portugal,Óptimo,81.8,empresas-servicos-e-associacoes
Sorriso Solidário,Bom,68.4,empresas-servicos-e-associacoes
SUCH,Bom,63.4,empresas-servicos-e-associacoes
Carneiro Pacheco e Associados ,Bom,73,empresas-servicos-e-associacoes
Centro de Arbitragem do Sector Automóvel,Fraco,30.9,empresas-servicos-e-associacoes
Luís Carvalho & David Roque,Fraco,25.1,empresas-servicos-e-associacoes
Liqui.do,Razoável,54.1,empresas-servicos-e-associacoes
Raize,Razoável,45,empresas-servicos-e-associacoes
Lisgarante,Fraco,32.5,empresas-servicos-e-associacoes
Doutor Finanças,Excelente,100,empresas-servicos-e-associacoes
Resolva a Sua Dívida,Óptimo,88.7,empresas-servicos-e-associacoes
Crédito ValorOk,Óptimo,82.8,empresas-servicos-e-associacoes
IAD Portugal,Bom,78.2,empresas-servicos-e-associacoes
NORFIN,Razoável,57.2,empresas-servicos-e-associacoes
Hall Portugal,Razoável,44.5,empresas-servicos-e-associacoes
12avos,Bom,65.8,empresas-servicos-e-associacoes
Calculalecrim,Sem dados,N/A,empresas-servicos-e-associacoes
LEXCONTA,Sem dados,N/A,empresas-servicos-e-associacoes
Partido CHEGA!,Fraco,33.9,empresas-servicos-e-associacoes
PS,Insatisfatório,16.5,empresas-servicos-e-associacoes
PSD,Insatisfatório,11.5,empresas-servicos-e-associacoes
Servilusa,Insatisfatório,11.5,empresas-servicos-e-associacoes
Espiga Mágica,Sem dados,N/A,empresas-servicos-e-associacoes
Patriarcado de Lisboa,Sem dados,N/A,empresas-servicos-e-associacoes
Dreambooks,Excelente,92.6,escritorio-marketing-e-publicidade
Me Group Portugal,Excelente,92.6,escritorio-marketing-e-publicidade
360Imprimir,Óptimo,86.5,escritorio-marketing-e-publicidade
Staples,Razoável,58.2,escritorio-marketing-e-publicidade
note!,Razoável,56.2,escritorio-marketing-e-publicidade
Pmelink.pt,Fraco,39,escritorio-marketing-e-publicidade
My Tinteiros,Bom,72.3,escritorio-marketing-e-publicidade
WebTinteiro,Bom,70.7,escritorio-marketing-e-publicidade
Tinteiros Low Cost,Bom,66.1,escritorio-marketing-e-publicidade
AUPPER,Razoável,42.1,escritorio-marketing-e-publicidade
Teleperformance,Fraco,27.9,escritorio-marketing-e-publicidade
Reditus,Insatisfatório,9.2,escritorio-marketing-e-publicidade
TLC Marketing,Bom,67.7,escritorio-marketing-e-publicidade
UON,Bom,65.2,escritorio-marketing-e-publicidade
FollowLike,Razoável,57.2,escritorio-marketing-e-publicidade
Kantar Worldpanel,Óptimo,88.1,escritorio-marketing-e-publicidade
PhD Trials,Bom,70,escritorio-marketing-e-publicidade
Netsonda,Bom,68.3,escritorio-marketing-e-publicidade
H3 Hambúrguer Gourmet,Excelente,92.8,alimentacao-e-bebidas
Go Natural,Bom,64.2,alimentacao-e-bebidas
Vitaminas,Razoável,58.6,alimentacao-e-bebidas
Domino's Pizza,Óptimo,82.7,alimentacao-e-bebidas
Telepizza,Óptimo,82.1,alimentacao-e-bebidas
Papa John’s Pizza,Bom,72.8,alimentacao-e-bebidas
Delta Cafés,Bom,73.4,alimentacao-e-bebidas
Delta Q,Bom,71.3,alimentacao-e-bebidas
Dolce Gusto,Bom,65,alimentacao-e-bebidas
EatTasty,Óptimo,83.1,alimentacao-e-bebidas
A Marmita,Bom,79.5,alimentacao-e-bebidas
BRING EAT!,Bom,75.2,alimentacao-e-bebidas
Pão em casa,Bom,78.9,alimentacao-e-bebidas
Pau de Canela,Bom,73.2,alimentacao-e-bebidas
Hussel,Bom,71.1,alimentacao-e-bebidas
Nobre,Excelente,90.6,alimentacao-e-bebidas
Saludães,Bom,67.8,alimentacao-e-bebidas
Caçarola,Bom,66,alimentacao-e-bebidas
Sumol+Compal,Óptimo,84.5,alimentacao-e-bebidas
Pepsi,Fraco,32.5,alimentacao-e-bebidas
Coca-Cola,Fraco,22.4,alimentacao-e-bebidas
Super Bock,Fraco,21.4,alimentacao-e-bebidas
Sagres,Insatisfatório,10.3,alimentacao-e-bebidas
Cerveja +351,Sem dados,N/A,alimentacao-e-bebidas
Fonte Viva,Óptimo,82.1,alimentacao-e-bebidas
Cafécop,Razoável,56.6,alimentacao-e-bebidas
"Serdial Vending, S.A.",Razoável,50.2,alimentacao-e-bebidas
Água de Luso,Sem dados,N/A,alimentacao-e-bebidas
Água das Pedras,Sem dados,N/A,alimentacao-e-bebidas
Vitalis,Sem dados,N/A,alimentacao-e-bebidas
Mimosa,Excelente,99.7,alimentacao-e-bebidas
Vigor,Óptimo,81.2,alimentacao-e-bebidas
AGROS,Bom,72.9,alimentacao-e-bebidas
TheFork,Bom,69.1,alimentacao-e-bebidas
Zomato,Fraco,34,alimentacao-e-bebidas
Vegaoo,Razoável,41.8,alimentacao-e-bebidas
Gertal,Fraco,31.4,alimentacao-e-bebidas
ITAU,Insatisfatório,18.9,alimentacao-e-bebidas
Gourmet Da Vila,Bom,67.6,alimentacao-e-bebidas
Wine House Portugal,Bom,67.1,alimentacao-e-bebidas
Garrafeira Nacional,Bom,64.5,alimentacao-e-bebidas
Sushi at Home,Excelente,96.8,alimentacao-e-bebidas
Home Sweet Sushi,Excelente,94.6,alimentacao-e-bebidas
Portugália Cervejaria,Óptimo,80.8,alimentacao-e-bebidas
Euro Revenda,Fraco,39.7,alimentacao-e-bebidas
Talhos Silau,Insatisfatório,14.9,alimentacao-e-bebidas
Rota das Indias,Insatisfatório,14.1,alimentacao-e-bebidas
Olá Gelados,Insatisfatório,1.5,alimentacao-e-bebidas
Choco&Nut,Sem dados,N/A,alimentacao-e-bebidas
Weeel Frozen Yogurt,Sem dados,N/A,alimentacao-e-bebidas
Auchan,Bom,76.3,hiper-e-supermercados
Continente,Bom,73.6,hiper-e-supermercados
Mercadona,Óptimo,89.1,hiper-e-supermercados
Pingo Doce,Óptimo,84.9,hiper-e-supermercados
ALDI Portugal,Óptimo,82.6,hiper-e-supermercados
Meu Super,Bom,78.1,hiper-e-supermercados
Froiz,Bom,67.3,hiper-e-supermercados
Supermercados Coviran,Razoável,47,hiper-e-supermercados
Recheio,Bom,79.9,hiper-e-supermercados
MAKRO,Insatisfatório,17.7,hiper-e-supermercados
JMDB,Sem dados,N/A,hiper-e-supermercados
STP Airways,Bom,69.2,hoteis-viagens-e-turismo
Azores Airlines,Razoável,53.7,hoteis-viagens-e-turismo
Emirates,Razoável,42.8,hoteis-viagens-e-turismo
Dellasol,Excelente,94.7,hoteis-viagens-e-turismo
Viagens El Corte Inglés,Óptimo,89.8,hoteis-viagens-e-turismo
Top Atlântico,Bom,66.2,hoteis-viagens-e-turismo
New Ellite Club,Bom,67.6,hoteis-viagens-e-turismo
Timeshare Revendas,Fraco,28.4,hoteis-viagens-e-turismo
Ponta Grande Vacation Club,Fraco,21.3,hoteis-viagens-e-turismo
Golden Club Cabanas,Razoável,57.6,hoteis-viagens-e-turismo
Hotel O Alambique de Ouro,Razoável,43.4,hoteis-viagens-e-turismo
Hotel Rali Viana,Razoável,41.6,hoteis-viagens-e-turismo
Dolfi1920,Razoável,53.4,hoteis-viagens-e-turismo
